content,type
水管漏水,水
洗手间地漏堵塞，导致房间积水,水
洗手间水龙头漏水，导致地面积水,水
水管破裂，导致房间受损,水
水管堵塞，导致水流不畅,水
水龙头无法打开,水
水龙头无法关闭,水
厕所堵塞,水
厕所冲水不畅,水
水箱漏水,水
水箱无法冲水,水
水箱无法停止冲水,水
水箱无法加水,水
水箱无法停止加水,水
水箱无法加满水,水
水龙头无法调节水温,水
水龙头无法调节水流,水
水龙头没有热水,水
水龙头没有冷水,水
水龙头没有水,水
水龙头水流太小,水
水龙头水流太大,水
水龙头水温不稳定,水
水龙头水温太高,水
水龙头水温太低,水
水龙头水温无法调节,水
照明灯具故障，导致无法正常使用,电
照明灯具老化，导致无法正常使用,电
照明灯具损坏，导致无法正常使用,电
照明灯具过载，导致跳闸或烧毁,电
照明灯具漏电，导致安全隐患,电
照明灯具无法开启,电
照明灯具无法关闭,电
照明灯具无法调节亮度,电
照明灯具无法调节色温,电
电灯无法正常使用,电
电灯无法开启,电
电灯无法关闭,电
电灯无法调节亮度,电
电灯无法调节色温,电
电灯亮度不足,电
电灯亮度过高,电
电灯亮度不稳定,电
电梯无法正常使用,电
电梯无法开门,电
电梯无法关门,电
电梯无法上行,电
电梯无法下行,电
电梯无法停止,电
电梯停止在中间层,电
电梯内突然停电，导致人员被困,电
办公室内停电,电
办公室内电压不稳定,电
办公室内电压过高,电
办公室内电压过低,电
办公室内电路老化,电
办公室内电路过载,电
办公室内电路漏电,电
办公室内电路短路,电
办公室内电路跳闸,电
办公室内电路烧毁,电
办公室内电路无法正常使用,电
办公室内插座无法正常使用,电
办公室内插座没有电,电
办公室内电器突然停电,电
打印机损坏，导致无法正常使用,机械
打印机无法正常使用,机械
打印机无法打印,机械
打印机无法扫描,机械
打印机无法复印,机械
打印机无法传真,机械
打印机无法正常供墨,机械
打印机无法正常供纸,机械
打印机无法正常供色,机械
饮水机故障，导致无法正常使用,机械
饮水机无法正常使用,机械
饮水机无法供水,机械
饮水机无法制冷,机械
饮水机无法制热,机械
饮水机无法正常供水,机械
饮水机无法正常供冷水,机械
饮水机无法正常供热水,机械
饮水机无法正常供温水,机械
饮水机无法正常供温热水,机械
饮水机无法正常供温冷水,机械
空调故障，导致无法正常使用,机械
空调无法正常使用,机械
空调无法制冷,机械
空调无法制热,机械
空调无法通风,机械
空调无法除湿,机械
空调无法正常制冷,机械
空调无法正常制热,机械
空调无法正常通风,机械
空调无法正常除湿,机械
空调无法正常供冷,机械
空调无法正常供热,机械
空调无法正常供风,机械
空调无法正常供湿,机械
空调无法启动,机械
空调无法停止,机械
空调无法调节温度,机械
空调无法调节风速,机械
空调无法调节湿度,机械
空调无法调节模式,机械
空调无法调节风向,机械
会议室地面需要打扫，有垃圾和灰尘,清洁
电梯内异味较严重，请清洁,清洁
办公桌上的灰尘比较多，请清洁,清洁
墙壁上有裂痕，请清理,清洁
楼道墙面污渍比较多，请清洁,清洁
办公室垃圾较多，需要清理,清洁
办公室地面需要打扫，有垃圾和灰尘,清洁
办公室脏乱，需要清理,清洁
办公室内异味较严重，请清洁,清洁
办公室内垃圾较多，请清理,清洁
办公室内地面需要打扫，有垃圾和灰尘,清洁